,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs
0,Hitter,Mike Trout,675.0,124.0,44.0,112.0,14.0,0.439,x,x,x,x,x,x,19.70500865868932
1,Hitter,Christian Yelich,672.0,112.0,36.0,100.0,22.0,0.4,x,x,x,x,x,x,17.53571643060179
2,Hitter,Ronald Acuna Jr.,680.0,107.0,37.0,94.0,29.0,0.363,x,x,x,x,x,x,16.667379054165142
3,Hitter,Mookie Betts,688.0,118.0,32.0,95.0,18.0,0.39,x,x,x,x,x,x,16.318320729423146
4,Hitter,Cody Bellinger,640.0,99.0,42.0,115.0,12.0,0.385,x,x,x,x,x,x,15.940306925449253
5,Hitter,Trea Turner,687.0,103.0,22.0,75.0,39.0,0.354,x,x,x,x,x,x,15.498767392817648
6,Hitter,Francisco Lindor,692.0,112.0,35.0,95.0,22.0,0.354,x,x,x,x,x,x,15.383604647321423
7,Hitter,Bryce Harper,664.0,102.0,41.0,102.0,11.0,0.38299999999999995,x,x,x,x,x,x,15.336310377306381
8,Hitter,Juan Soto,646.0,97.0,34.0,106.0,9.0,0.406,x,x,x,x,x,x,15.225998987488943
9,Hitter,Jose Ramirez,648.0,95.0,31.0,101.0,23.0,0.36200000000000004,x,x,x,x,x,x,14.93159744890168
10,Hitter,Alex Bregman,658.0,106.0,32.0,103.0,6.0,0.396,x,x,x,x,x,x,14.541765699968947
11,Hitter,J.D. Martinez,649.0,102.0,39.0,120.0,3.0,0.37799999999999995,x,x,x,x,x,x,14.453656935866121
12,Hitter,Trevor Story,652.0,98.0,36.0,101.0,20.0,0.34600000000000003,x,x,x,x,x,x,14.446120179020468
13,Hitter,Aaron Judge,670.0,107.0,41.0,101.0,6.0,0.373,x,x,x,x,x,x,14.409208716214248
14,Pitcher,Gerrit Cole,x,x,x,x,x,x,202.0,22.5,0.0,280.0,3.26,1.04,14.112785290554383
15,Hitter,Giancarlo Stanton,612.0,101.0,48.0,115.0,3.0,0.355,x,x,x,x,x,x,14.072346452608578
