,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value
0,Hitter,Mike Trout,675.0,124.0,44.0,112.0,14.0,0.439,x,x,x,x,x,x,19.70500865868932,27.173618321633374,36.12255925600705
1,Hitter,Christian Yelich,672.0,112.0,36.0,100.0,22.0,0.4,x,x,x,x,x,x,17.53571643060179,24.18211905080499,31.516706388877417
2,Hitter,Ronald Acuna Jr.,680.0,107.0,37.0,94.0,29.0,0.363,x,x,x,x,x,x,16.667379054165142,22.98466368042671,29.673047824525067
3,Hitter,Mookie Betts,688.0,118.0,32.0,95.0,18.0,0.39,x,x,x,x,x,x,16.318320729423146,22.503304963319774,28.931925321529814
4,Hitter,Cody Bellinger,640.0,99.0,42.0,115.0,12.0,0.385,x,x,x,x,x,x,15.940306925449253,21.982016035848755,28.129324390081006
5,Hitter,Trea Turner,687.0,103.0,22.0,75.0,39.0,0.354,x,x,x,x,x,x,15.498767392817648,21.373123802332646,27.191845291603272
6,Hitter,Francisco Lindor,692.0,112.0,35.0,95.0,22.0,0.354,x,x,x,x,x,x,15.383604647321423,21.214311972041678,26.947331134099446
7,Hitter,Bryce Harper,664.0,102.0,41.0,102.0,11.0,0.38299999999999995,x,x,x,x,x,x,15.336310377306381,21.149092186328858,26.846915686919505
8,Hitter,Juan Soto,646.0,97.0,34.0,106.0,9.0,0.406,x,x,x,x,x,x,15.225998987488943,20.996970476800648,26.61270195375374
9,Hitter,Jose Ramirez,648.0,95.0,31.0,101.0,23.0,0.36200000000000004,x,x,x,x,x,x,14.93159744890168,20.590984608870354,25.987627031605044
10,Hitter,Alex Bregman,658.0,106.0,32.0,103.0,6.0,0.396,x,x,x,x,x,x,14.541765699968947,20.053398488577958,25.159934176178698
11,Hitter,J.D. Martinez,649.0,102.0,39.0,120.0,3.0,0.37799999999999995,x,x,x,x,x,x,14.453656935866121,19.93189466343423,24.97286117674231
12,Hitter,Trevor Story,652.0,98.0,36.0,101.0,20.0,0.34600000000000003,x,x,x,x,x,x,14.446120179020468,19.921501318399265,24.956859094276513
13,Hitter,Aaron Judge,670.0,107.0,41.0,101.0,6.0,0.373,x,x,x,x,x,x,14.409208716214248,19.870599640589187,24.878488478923384
14,Pitcher,Gerrit Cole,x,x,x,x,x,x,202.0,22.5,0.0,280.0,3.26,1.04,14.112785290554383,19.500979301635923,24.309403634237444
15,Hitter,Giancarlo Stanton,612.0,101.0,48.0,115.0,3.0,0.355,x,x,x,x,x,x,14.072346452608578,19.40605954640631,24.163260718197016
16,Hitter,Nolan Arenado,657.0,100.0,40.0,114.0,3.0,0.371,x,x,x,x,x,x,13.967811110257568,19.2619031269208,23.941310719921255
17,Hitter,Freddie Freeman,662.0,98.0,33.0,103.0,6.0,0.385,x,x,x,x,x,x,13.849841551889021,19.099220643081093,23.69083712230697
18,Pitcher,Max Scherzer,x,x,x,x,x,x,202.0,22.5,0.0,268.0,3.28,1.04,13.80861013013268,19.080671517925396,23.662278017474737
19,Pitcher,Justin Verlander,x,x,x,x,x,x,204.0,24.0,0.0,266.0,3.46,1.04,13.759256371469652,19.01247472995401,23.557279037708955
20,Hitter,George Springer,687.0,112.0,35.0,91.0,8.0,0.365,x,x,x,x,x,x,13.699255004981445,18.891558651101466,23.371110960084515
21,Hitter,Anthony Rizzo,660.0,97.0,32.0,99.0,6.0,0.38799999999999996,x,x,x,x,x,x,13.683762699859484,18.870194438905557,23.338217614946117
22,Hitter,Josh Donaldson,644.0,100.0,36.0,103.0,4.0,0.379,x,x,x,x,x,x,13.633914214140496,18.801452336412655,23.232379043315206
23,Pitcher,Jacob deGrom,x,x,x,x,x,x,205.0,21.0,0.0,258.0,3.13,1.06,13.42313836818834,18.54802847856216,22.84219576175406
24,Hitter,Adalberto Mondesi,649.0,82.0,20.0,76.0,49.0,0.293,x,x,x,x,x,x,13.398905144264063,18.47736992277067,22.733406528558135
25,Hitter,Nelson Cruz,641.0,97.0,40.0,114.0,1.0,0.363,x,x,x,x,x,x,13.206795282542984,18.212446412781325,22.32551784212153
26,Hitter,Joey Gallo,616.0,90.0,43.0,101.0,8.0,0.349,x,x,x,x,x,x,13.112132189508984,18.08190403120684,22.12452865642455
27,Hitter,Yordan Alvarez,602.0,93.0,39.0,107.0,3.0,0.366,x,x,x,x,x,x,13.021315595179935,17.9566660516498,21.931706377361575
28,Hitter,Fernando Tatis Jr.,671.0,93.0,31.0,82.0,23.0,0.33299999999999996,x,x,x,x,x,x,12.973844126612649,17.891201905434063,21.83091470126723
29,Hitter,Rafael Devers,636.0,95.0,32.0,103.0,9.0,0.355,x,x,x,x,x,x,12.812234123695374,17.66833833748046,21.487783478255544
30,Hitter,Tommy Pham,652.0,92.0,25.0,76.0,18.0,0.366,x,x,x,x,x,x,12.785291421130466,17.63118378816088,21.430578587992215
31,Hitter,Kris Bryant,669.0,100.0,31.0,91.0,4.0,0.377,x,x,x,x,x,x,12.715603741697425,17.535083023353614,21.282617334102877
32,Hitter,Jose Altuve,673.0,100.0,24.0,93.0,12.0,0.361,x,x,x,x,x,x,12.65266821245084,17.448293614618056,21.148992281621954
33,Hitter,Peter Alonso,663.0,98.0,44.0,105.0,2.0,0.34299999999999997,x,x,x,x,x,x,12.631781881462107,17.419490928140835,21.104646311898396
34,Pitcher,Chris Sale,x,x,x,x,x,x,177.0,21.0,0.0,233.0,3.22,1.03,12.539905350898817,17.327581314230088,20.9631379508984
35,Hitter,Rhys Hoskins,656.0,93.0,36.0,96.0,4.0,0.365,x,x,x,x,x,x,12.532399455867544,17.282440488439867,20.89363701405444
36,Hitter,Manny Machado,664.0,93.0,37.0,102.0,7.0,0.34299999999999997,x,x,x,x,x,x,12.389125943882613,17.084863324292737,20.589437926713746
37,Hitter,Starling Marte,649.0,85.0,22.0,81.0,26.0,0.337,x,x,x,x,x,x,12.37678574791746,17.067845936430622,20.563237156604952
38,Hitter,Anthony Rendon,655.0,93.0,28.0,99.0,4.0,0.374,x,x,x,x,x,x,12.290491376074472,16.948844196092264,20.380016484523996
39,Hitter,Carlos Correa,637.0,93.0,33.0,105.0,3.0,0.359,x,x,x,x,x,x,12.193362097761048,16.814900893530922,20.173791081044527
40,Hitter,Paul Goldschmidt,663.0,91.0,31.0,91.0,5.0,0.369,x,x,x,x,x,x,12.128043218670275,16.724824795603052,20.035105687420533
41,Hitter,Charlie Blackmon,660.0,101.0,30.0,84.0,8.0,0.35600000000000004,x,x,x,x,x,x,12.106472587339947,16.695078444668642,19.989306807549763
42,Hitter,Carlos Santana,654.0,92.0,29.0,93.0,3.0,0.375,x,x,x,x,x,x,12.007922579061066,16.559175925824366,19.78006490260503
43,Hitter,Xander Bogaerts,649.0,92.0,25.0,96.0,6.0,0.368,x,x,x,x,x,x,11.899797872267838,16.41006969783791,19.550493946537863
