,Unnamed: 0,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
0,0.0,Hitter,Mike Trout,675,124,44,112,14,0.439,x,x,x,x,x,x,19.70500866,27.44549692,50.27024558,True,75.0,72.70709288092965
1,1.0,Hitter,Christian Yelich,672,112,36,100,22,0.4,x,x,x,x,x,x,17.53571643,24.42406698,43.34739834,True,35.0,62.69440860871632
2,2.0,Hitter,Ronald Acuna Jr.,680,107,37,94,29,0.363,x,x,x,x,x,x,16.66737905,23.21463078,40.576279299999996,True,11.0,58.68647096885026
3,3.0,Hitter,Cody Bellinger,640,100,42,116,12,0.386,x,x,x,x,x,x,16.06051161,22.36937469,38.63958743,True,12.0,55.88538587270239
4,4.0,Hitter,Francisco Lindor,692,112,36,95,22,0.355,x,x,x,x,x,x,15.51523305,21.60990072,36.89944375,,,53.368573259034584
5,5.0,Hitter,Trea Turner,683,103,22,75,39,0.354,x,x,x,x,x,x,15.49501569,21.58174161,36.83492422,,,53.27525707555028
6,6.0,Hitter,Bryce Harper,664,102,41,102,11,0.383,x,x,x,x,x,x,15.33631038,21.36069395,36.32844907,,,52.542729606307454
7,7.0,Pitcher,Gerrit Cole,x,x,x,x,x,x,202,22.5,0,281,3.26,1.04,14.13508703,21.31993231,36.23505402,True,39.0,33.63906641985692
8,8.0,Hitter,Juan Soto,646,97,34,106,9,0.407,x,x,x,x,x,x,15.26572582,21.26238248,36.10319305,True,13.0,52.216936283056924
9,9.0,Hitter,Jose Ramirez,648,96,31,101,23,0.362,x,x,x,x,x,x,14.975042499999999,20.85751343,35.17553739,True,22.0,50.87524508073716
10,10.0,Pitcher,Max Scherzer,x,x,x,x,x,x,202,22.5,0,268,3.27,1.04,13.826887300000003,20.85507509,35.16995054,,,32.65027013745136
11,11.0,Hitter,Mookie Betts,688,112,32,87,17,0.371,x,x,x,x,x,x,14.81675242,20.63704411,34.67038735,,,50.144634150686365
12,12.0,Hitter,Alex Bregman,658,106,33,103,6,0.396,x,x,x,x,x,x,14.63108647,20.37844518,34.0778729,True,20.0,49.28766592520027
13,13.0,Pitcher,Jacob deGrom,x,x,x,x,x,x,205,21,0,259,3.12,1.06,13.46395405,20.30766336,33.91569417,,,31.48587244358644
14,14.0,Hitter,Trevor Story,652,98,36,101,20,0.347,x,x,x,x,x,x,14.48618535,20.17662424,33.61545097,,,48.61885371179694
15,15.0,Hitter,J.D. Martinez,649,101,39,119,3,0.378,x,x,x,x,x,x,14.37284022,20.01875508,33.25373345,,,48.09569276400633
16,16.0,Hitter,Nolan Arenado,657,100,40,114,3,0.371,x,x,x,x,x,x,13.96781111,19.45462311,31.96116685,,,46.226221891988615
17,17.0,Hitter,Freddie Freeman,662,98,33,103,6,0.385,x,x,x,x,x,x,13.84984155,19.29031295,31.58469142,,,45.68171621590558
18,18.0,Hitter,Anthony Rizzo,660,97,32,99,6,0.388,x,x,x,x,x,x,13.683762699999997,19.05899528,31.05468513,,,44.91515507999105
19,19.0,Pitcher,Justin Verlander,x,x,x,x,x,x,184,21,0,240,3.45,1.04,12.33516311,18.60510954,30.01472004,,,27.86437576280921
20,20.0,Hitter,Josh Donaldson,630,98,35,101,4,0.379,x,x,x,x,x,x,13.34987063,18.5939443,29.98913769,True,24.0,43.374027603980885
21,21.0,Hitter,George Springer,665,108,34,88,8,0.365,x,x,x,x,x,x,13.2898044,18.51028295,29.79744874,,,43.09678315985502
22,22.0,Hitter,Rafael Devers,640,95,32,103,9,0.356,x,x,x,x,x,x,12.85564512,17.90557795,28.41191925,True,11.0,41.09285777304976
23,23.0,Hitter,Kris Bryant,665,100,31,91,4,0.377,x,x,x,x,x,x,12.70667066,17.6980836,27.93649809,,,40.4052444535033
24,24.0,Hitter,Fernando Tatis Jr.,652,90,30,80,23,0.333,x,x,x,x,x,x,12.68394579,17.66643197,27.86397634,True,6.0,40.30035446237035
25,25.0,Hitter,Peter Alonso,663,98,44,105,2,0.344,x,x,x,x,x,x,12.672466,17.65044272,27.827340999999997,True,10.0,40.24736786886215
