,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,
0,Hitter,Mike Trout,675,124,44,112,14,0.439,x,x,x,x,x,x,19.70500866,27.44549692,50.27024558,TRUE,75,
1,Hitter,Christian Yelich,672,112,36,100,22,0.4,x,x,x,x,x,x,17.53571643,24.42406698,43.34739834,TRUE,35,
2,Hitter,Ronald Acuna Jr.,680,107,37,94,29,0.363,x,x,x,x,x,x,16.66737905,23.21463078,40.5762793,TRUE,11,
3,Hitter,Cody Bellinger,640,100,42,116,12,0.386,x,x,x,x,x,x,16.06051161,22.36937469,38.63958743,TRUE,12,
4,Hitter,Francisco Lindor,692,112,36,95,22,0.355,x,x,x,x,x,x,15.51523305,21.60990072,36.89944375,,,
5,Hitter,Trea Turner,683,103,22,75,39,0.354,x,x,x,x,x,x,15.49501569,21.58174161,36.83492422,,,
6,Hitter,Bryce Harper,664,102,41,102,11,0.383,x,x,x,x,x,x,15.33631038,21.36069395,36.32844907,,,
7,Pitcher,Gerrit Cole,x,x,x,x,x,x,202,22.5,0,281,3.26,1.04,14.13508703,21.31993231,36.23505402,TRUE,39,
8,Hitter,Juan Soto,646,97,34,106,9,0.407,x,x,x,x,x,x,15.26572582,21.26238248,36.10319305,TRUE,13,
9,Hitter,Jose Ramirez,648,96,31,101,23,0.362,x,x,x,x,x,x,14.9750425,20.85751343,35.17553739,TRUE,22,
10,Pitcher,Max Scherzer,x,x,x,x,x,x,202,22.5,0,268,3.27,1.04,13.8268873,20.85507509,35.16995054,,,
11,Hitter,Mookie Betts,688,112,32,87,17,0.371,x,x,x,x,x,x,14.81675242,20.63704411,34.67038735,,,
12,Hitter,Alex Bregman,658,106,33,103,6,0.396,x,x,x,x,x,x,14.63108647,20.37844518,34.0778729,TRUE,20,
13,Pitcher,Jacob deGrom,x,x,x,x,x,x,205,21,0,259,3.12,1.06,13.46395405,20.30766336,33.91569417,,,
14,Hitter,Trevor Story,652,98,36,101,20,0.347,x,x,x,x,x,x,14.48618535,20.17662424,33.61545097,,,
15,Hitter,J.D. Martinez,649,101,39,119,3,0.378,x,x,x,x,x,x,14.37284022,20.01875508,33.25373345,,,
16,Hitter,Nolan Arenado,657,100,40,114,3,0.371,x,x,x,x,x,x,13.96781111,19.45462311,31.96116685,,,
17,Hitter,Freddie Freeman,662,98,33,103,6,0.385,x,x,x,x,x,x,13.84984155,19.29031295,31.58469142,,,
18,Hitter,Anthony Rizzo,660,97,32,99,6,0.388,x,x,x,x,x,x,13.6837627,19.05899528,31.05468513,,,
19,Pitcher,Justin Verlander,x,x,x,x,x,x,184,21,0,240,3.45,1.04,12.33516311,18.60510954,30.01472004,,,
20,Hitter,Josh Donaldson,630,98,35,101,4,0.379,x,x,x,x,x,x,13.34987063,18.5939443,29.98913769,TRUE,24,
21,Hitter,George Springer,665,108,34,88,8,0.365,x,x,x,x,x,x,13.2898044,18.51028295,29.79744874,,,
22,Hitter,Rafael Devers,640,95,32,103,9,0.356,x,x,x,x,x,x,12.85564512,17.90557795,28.41191925,TRUE,11,
23,Hitter,Kris Bryant,665,100,31,91,4,0.377,x,x,x,x,x,x,12.70667066,17.6980836,27.93649809,,,
24,Hitter,Fernando Tatis Jr.,652,90,30,80,23,0.333,x,x,x,x,x,x,12.68394579,17.66643197,27.86397634,TRUE,6,
25,Hitter,Peter Alonso,663,98,44,105,2,0.344,x,x,x,x,x,x,12.672466,17.65044272,27.827341,TRUE,10,
26,Hitter,Nelson Cruz,613,93,38,109,1,0.363,x,x,x,x,x,x,12.62657219,17.58652098,27.68088038,,,
27,Hitter,Adalberto Mondesi,607,77,19,71,46,0.293,x,x,x,x,x,x,12.58381797,17.52697211,27.54443913,TRUE,20,
28,Hitter,Jose Altuve,669,99,24,92,12,0.361,x,x,x,x,x,x,12.56651633,17.50287407,27.48922453,,,
29,Hitter,Tommy Pham,630,89,24,74,18,0.366,x,x,x,x,x,x,12.4551081,17.34770265,27.13368822,,,
30,Hitter,Manny Machado,664,93,37,102,7,0.344,x,x,x,x,x,x,12.42986625,17.31254534,27.05313408,,,
31,Hitter,Giancarlo Stanton,541,89,43,101,2,0.355,x,x,x,x,x,x,12.36633363,17.22405594,26.85038287,,,
32,Hitter,Yordan Alvarez,568,88,37,101,3,0.366,x,x,x,x,x,x,12.34511753,17.19450577,26.78267607,TRUE,1,
33,Pitcher,Walker Buehler,x,x,x,x,x,x,194,21,0,226,3.43,1.13,11.39621816,17.18890017,26.76983226,TRUE,14,
34,Hitter,Starling Marte,628,85,23,81,25,0.335,x,x,x,x,x,x,12.24662264,17.05732028,26.46835002,,,
35,Hitter,Rhys Hoskins,638,91,35,93,4,0.365,x,x,x,x,x,x,12.21585603,17.01446799,26.37016477,TRUE,15,
36,Hitter,Anthony Rendon,651,92,28,98,4,0.374,x,x,x,x,x,x,12.2013857,16.99431345,26.32398569,TRUE,37,
37,Hitter,Carlos Santana,654,92,30,94,3,0.376,x,x,x,x,x,x,12.17479285,16.95727444,26.23912011,,,
38,Hitter,Paul Goldschmidt,663,91,31,92,5,0.369,x,x,x,x,x,x,12.16541488,16.94421264,26.20919227,,,
39,Hitter,Xander Bogaerts,649,91,26,96,6,0.368,x,x,x,x,x,x,11.94567359,16.63815294,25.50793342,,,
40,Hitter,Charlie Blackmon,645,99,29,82,8,0.357,x,x,x,x,x,x,11.87931298,16.54572467,25.29615726,,,
41,Hitter,Joey Gallo,556,82,39,91,7,0.349,x,x,x,x,x,x,11.85072672,16.5059092,25.20493012,TRUE,6,
